100
(0.00880807250535598 , 0.4096711646352381)
(0.045512360270316465 , 0.4399104458991915)
(0.05078030728122185 , 0.7562593036409162)
(0.05617294707215181 , 0.9147815580429394)
(0.0568321647358252 , 0.4508655266298379)
(0.07282596151459508 , 0.6759285011517073)
(0.07554182249058716 , 0.03998890140737199)
(0.08337064835491836 , 0.6914628208319873)
(0.08887575235140621 , 0.5957572572904445)
(0.08984154281647772 , 0.8437896961934426)
(0.09777374715051868 , 0.9383137766216081)
(0.10277152496568143 , 0.5154376358761115)
(0.11650888366127288 , 0.30820009446419894)
(0.1193294119601106 , 0.629661764023675)
(0.13730526591124648 , 0.7665701389066273)
(0.14182632927013195 , 0.865992884151132)
(0.1464775926888292 , 0.33458693113403626)
(0.1498121363841115 , 0.17558808634902567)
(0.15178487687119002 , 0.5685239664724997)
(0.1622752364690394 , 0.4416061463265111)
(0.18611584250281044 , 0.38887922891945936)
(0.1867042591505701 , 0.5165065808695608)
(0.20516926719227835 , 0.11924318049251026)
(0.22391641774533533 , 0.3959636831946738)
(0.23681666036547722 , 0.9654790663668139)
(0.23810846959571585 , 0.7006628698988682)
(0.246817108619799 , 0.057468110029775143)
(0.24868399616409254 , 0.12210406385284467)
(0.2619065222770013 , 0.5282993168044435)
(0.27345011490296767 , 0.3957393447578723)
(0.28903262466738355 , 0.39872811826745214)
(0.3056232927677356 , 0.5280671605223894)
(0.3063160122471287 , 0.7981951403291181)
(0.30684726449622146 , 0.8351562705119825)
(0.3190476094447179 , 0.5369063118112245)
(0.32019837747038593 , 0.5579399784406311)
(0.3221478765097676 , 0.6863962706413722)
(0.34588787476592087 , 0.8212611902194372)
(0.3468115941860761 , 0.42625108962476954)
(0.35908061824739856 , 0.47497426667163056)
(0.3667055758387616 , 0.3126521615709299)
(0.3667416532152111 , 0.43617715939015567)
(0.367528313037244 , 0.12844587901315174)
(0.3780927080400224 , 0.4105906251045661)
(0.38062479186823484 , 0.11414945510495711)
(0.4154029569935669 , 0.4271221808987604)
(0.43046625242487535 , 0.836661544260376)
(0.4407639892731475 , 0.019096064747469055)
(0.47097312068965724 , 0.9526549114042365)
(0.47223734593894273 , 0.6722060999358332)
(0.4889742727768741 , 0.5456657892226843)
(0.49825707306292855 , 0.13529556285313293)
(0.5097884029177449 , 0.08044471257903629)
(0.5389753391573513 , 0.6657920132756044)
(0.544058681103314 , 0.3136240861393018)
(0.5571475076862236 , 0.6833123972496311)
(0.5576166069698987 , 0.7191087373611944)
(0.5653342042864237 , 0.6404207332694514)
(0.566617302109691 , 0.3518311965712987)
(0.5751660217131018 , 0.8132143072190924)
(0.5763171187461195 , 0.44642431190382126)
(0.588265457572386 , 0.1130851778934312)
(0.5894696426484614 , 0.6057841708036964)
(0.5943435643203037 , 0.6669914736663235)
(0.594456000841782 , 0.08176510221302091)
(0.597617396039179 , 0.8354560719184851)
(0.6129976326116577 , 0.7123638983258657)
(0.6326934154920775 , 0.7956228916186021)
(0.6537537931705157 , 0.21075893052970374)
(0.6880062935241407 , 0.8833221875577255)
(0.7153457779335296 , 0.07044077933098547)
(0.7214739910354624 , 0.34520577551224263)
(0.7224014991107873 , 0.5512087871707728)
(0.7229121611454624 , 0.8388296053679436)
(0.734635297616977 , 0.6304316033804013)
(0.7388955473017091 , 0.5278639408212282)
(0.7473599550560517 , 0.6248519357263103)
(0.7506670526357817 , 0.7187378083494289)
(0.760084378202324 , 0.13243439808070434)
(0.7715734201985351 , 0.5166314252190164)
(0.7924424182687287 , 0.9294623561913058)
(0.7958443191852049 , 0.8745715382351681)
(0.8118114162480318 , 0.4719015278439862)
(0.8178041439605241 , 0.06850224842207675)
(0.8187610461374917 , 0.14095758918792833)
(0.823798879508506 , 0.15893545658559305)
(0.8672657308023152 , 0.8054886515695641)
(0.8682401825199789 , 0.7822969095928363)
(0.8848347971245792 , 0.5115726773128265)
(0.8888059357536459 , 0.3607202513876816)
(0.8966663970440045 , 0.6216380926605433)
(0.9010110276263935 , 0.27791811295254587)
(0.9017202361100608 , 0.9457710756705326)
(0.9018443375956913 , 0.028622819547961642)
(0.9226650935047457 , 0.20975363774273637)
(0.9332585046458258 , 0.0024758836145161167)
(0.9399711286205705 , 0.6250205085346148)
(0.9402236013795708 , 0.44215862254342075)
(0.9402927325327294 , 0.9999416902992762)
(0.9588351981202883 , 0.372357460662077)
